Initial	Next
510.909549	1190.75
30.83900227	89.31720836
364.6258503	986.3441673
600	1004.862686
238.4227765	406.6515495
326.026707	534.3663391
352.632905	583.7238599
66.4399093	108.7427564
160.1158982	243.1090955
206.0216679	334.8954397
32.02317964	97.35449735
74.37641723	149.3323255
138.951877	202.8218695
64.24792139	131.2673217
197.228521	418.1405896
448.0977576	774.6283699
48.2489292	65.81002771
1226.228269	1765.709247
125.2708491	344.8475687
884.882842	1620.005039
2353.766692	3075
1769.160998	2722.323003
2630.032754	3475.258251
1540.110859	2401.562106
243.8901487	495.2380952
954.5981356	1493.046107
79.86898463	257.7475435
2009.171076	3352.834467
702.5195263	616.8052406
448.6268582	603.5525321
590.9549005	899.2945326
896.5734442	1328.420257
345.6538171	141.7737465
247.5434618	449.1307634
190.1738473	410.2292769
2856.361804	0
1330.6	0
617.9138322	0
677.0723104	451.2723608
130.9901738	0
1076.366843	0
698.664651	0
1337.742504	0
198.1607458	0
282.2625346	0
