"","morph","m.int","m.slp","f.int","f.slp","g.int","g.slp","g.var","p.int","p.slp","p.sig","s.int","s.slp","s.slp.2","r.int","r.err"
"1","corymbose",8.11779339789302,3.55938452915435,16.1132854964173,2.63371792677574,-0.141727858204506,0.948685307253007,0.0749218081886487,-1.79180095298867,-0.988500695729438,1.3344169127964,0.643349617788399,-2.28511378442366,-1.17682202801084,0.0312386753373123,0.00266688977902631
"2","digitate",11.1300649707264,4.84666615289708,16.0552570855984,2.78755206161229,-0.107742684080117,0.94266500870653,0.028877165649472,-2.26541532739325,-0.967655524396025,0.895307147000996,0.629164312889945,-3.38978027965717,-1.36360760450574,0.0204340193334889,0.00270443880553992
"3","massive",5.02375825393594,1.71473590956332,15.7970150914695,2.46740820309473,-0.245297865266782,0.885118335965978,0.0306392345618672,-3.34179660988491,-1.37837509915079,0.913548342405609,10.9730056481595,4.74717656631307,0.45595228804314,0.0155772418470304,0.00108305673758611
"4","staghorn",3.79439621701942,1.72857569353032,15.0420205515629,2.40365304017785,-0.141561951425249,0.95358667527508,0.0869557454117788,-1.28694944841807,-1.08665341521352,1.26924409903648,3.65503097402288,0.738555484728942,-0.405783389095986,0.0501973523727928,0.0114318401966613
"5","tabular",1.78832921200922,0.952970037444427,15.2326104164107,2.34409962421533,-0.123345421161452,0.928530676256996,0.0984147370513306,-1.06332371996476,-1.1472479245223,1.34502338505618,1.86582642510751,-0.0844168080622534,-0.520776508332619,0.079457543714033,0.00554806246824626
