colony_id,spp_code,growth_form,log_area_cm2,mortality,year
58,AD,digitate,-3.735427675,1,5_6
59,AD,digitate,-2.581242452,0,5_6
60,AD,digitate,-2.210286492,0,5_6
61,AD,digitate,-3.316887617,0,5_6
62,AD,digitate,-3.654556147,1,5_6
63,AD,digitate,-3.405835734,0,5_6
64,AD,digitate,-1.762305388,1,5_6
65,AD,digitate,-6.339379448,0,5_6
66,AD,digitate,-3.110370264,0,5_6
68,AH,tabular,-2.158576038,0,3_4
69,AH,tabular,-1.118379855,0,3_4
70,AH,tabular,-1.462302933,0,3_4
71,AH,tabular,-2.301842525,0,3_4
72,AH,tabular,-1.089557414,0,3_4
73,AH,tabular,-1.654945267,0,3_4
75,AH,tabular,-2.942111718,0,3_4
76,AH,tabular,-1.46146776,0,3_4
77,AH,tabular,-3.440429403,0,3_4
78,AH,tabular,-2.090145462,0,3_4
79,AH,tabular,-3.972939525,0,3_4
80,AH,tabular,-0.470719577,0,3_4
81,AH,tabular,0.013033747,0,3_4
82,AH,tabular,-3.081737332,0,3_4
83,AH,tabular,-1.689982834,0,3_4
84,AH,tabular,-2.369638001,0,3_4
85,AH,tabular,-1.682851002,1,3_4
86,AH,tabular,-1.273350115,0,3_4
87,AH,tabular,-3.129170917,0,3_4
88,AH,tabular,-2.017931498,0,3_4
89,AH,tabular,-3.339719556,1,3_4
90,AH,tabular,-1.335235446,0,3_4
91,AH,tabular,-2.43952738,0,3_4
92,AH,tabular,-1.153529214,0,3_4
93,AH,tabular,-2.307114139,0,3_4
94,AH,tabular,-1.593194712,0,3_4
95,AH,tabular,-1.670191703,0,3_4
96,AH,tabular,-1.447422841,0,3_4
97,AH,tabular,-1.294528857,0,3_4
68,AH,tabular,-2.626756027,0,4_5
69,AH,tabular,-0.956463124,1,4_5
70,AH,tabular,-1.822824784,0,4_5
71,AH,tabular,-1.835847351,0,4_5
72,AH,tabular,-0.800549994,0,4_5
73,AH,tabular,-1.831137795,0,4_5
74,AH,tabular,-3.571001802,0,4_5
75,AH,tabular,-2.785407229,0,4_5
76,AH,tabular,-1.173687125,0,4_5
77,AH,tabular,-2.854275975,0,4_5
78,AH,tabular,-1.589247563,0,4_5
79,AH,tabular,-5.037997021,0,4_5
80,AH,tabular,-0.141763872,0,4_5
81,AH,tabular,-0.10094397,1,4_5
83,AH,tabular,-1.465743817,0,4_5
84,AH,tabular,-3.164505173,0,4_5
86,AH,tabular,-1.129750822,0,4_5
88,AH,tabular,-2.014678452,1,4_5
90,AH,tabular,-1.112014584,0,4_5
91,AH,tabular,-1.792329115,0,4_5
92,AH,tabular,-0.972174241,0,4_5
93,AH,tabular,-1.602310095,0,4_5
94,AH,tabular,-1.24079155,0,4_5
95,AH,tabular,-1.138002717,0,4_5
97,AH,tabular,-0.941526076,0,4_5
98,AH,tabular,-1.340915523,0,4_5
99,AH,tabular,-5.144804553,0,4_5
68,AH,tabular,-3.502962216,0,5_6
70,AH,tabular,-1.313135058,0,5_6
71,AH,tabular,-1.999512104,1,5_6
72,AH,tabular,-0.738549119,0,5_6
73,AH,tabular,-1.367845736,0,5_6
74,AH,tabular,-3.475328445,1,5_6
75,AH,tabular,-2.541937481,0,5_6
76,AH,tabular,-2.709971826,0,5_6
77,AH,tabular,-2.32459359,0,5_6
78,AH,tabular,-1.143697015,0,5_6
79,AH,tabular,-4.15314617,0,5_6
80,AH,tabular,0.00538869,1,5_6
83,AH,tabular,-1.395056491,1,5_6
84,AH,tabular,-3.031576716,0,5_6
86,AH,tabular,-1.085359031,0,5_6
90,AH,tabular,-0.904546184,0,5_6
91,AH,tabular,-1.548914961,0,5_6
92,AH,tabular,-0.973672189,1,5_6
93,AH,tabular,-1.157151749,0,5_6
94,AH,tabular,-1.057338215,0,5_6
95,AH,tabular,-1.707004688,0,5_6
96,AH,tabular,-5.26138754,1,5_6
97,AH,tabular,-1.376187347,1,5_6
98,AH,tabular,-1.41368211,0,5_6
100,AH,tabular,-1.844104267,1,5_6
101,AI,staghorn,-0.654670333,0,3_4
102,AI,staghorn,-3.691996452,1,3_4
103,AI,staghorn,-3.901979857,1,3_4
104,AI,staghorn,-5.34465558,0,3_4
105,AI,staghorn,-3.303056778,1,3_4
106,AI,staghorn,-1.800679144,0,3_4
107,AI,staghorn,-5.269491648,1,3_4
108,AI,staghorn,-2.839119264,0,3_4
109,AI,staghorn,-2.080932996,0,3_4
111,AI,staghorn,-1.120503515,0,3_4
112,AI,staghorn,-2.176755902,0,3_4
114,AI,staghorn,-2.635489106,0,3_4
115,AI,staghorn,-3.296832924,0,3_4
116,AI,staghorn,-2.9959638,0,3_4
117,AI,staghorn,-2.704590848,0,3_4
118,AI,staghorn,-2.08063467,0,3_4
119,AI,staghorn,-3.090369489,0,3_4
120,AI,staghorn,-4.389828201,1,3_4
121,AI,staghorn,-4.963073263,0,3_4
122,AI,staghorn,-3.421199378,0,3_4
101,AI,staghorn,-0.433893981,0,4_5
104,AI,staghorn,-5.159752862,0,4_5
106,AI,staghorn,-2.082632062,0,4_5
108,AI,staghorn,-2.620108483,0,4_5
109,AI,staghorn,-1.619086579,0,4_5
110,AI,staghorn,-1.430416775,0,4_5
111,AI,staghorn,-0.87486063,0,4_5
112,AI,staghorn,-2.321058124,0,4_5
114,AI,staghorn,-2.19401383,0,4_5
115,AI,staghorn,-4.038039004,0,4_5
117,AI,staghorn,-2.831538005,0,4_5
119,AI,staghorn,-2.663351815,0,4_5
121,AI,staghorn,-5.377579464,0,4_5
122,AI,staghorn,-5.34349536,1,4_5
123,AI,staghorn,-3.891117247,0,4_5
124,AI,staghorn,-4.482477129,0,4_5
125,AI,staghorn,-5.881807651,0,4_5
126,AI,staghorn,-4.44118988,1,4_5
101,AI,staghorn,-0.985756096,0,5_6
104,AI,staghorn,-4.690735019,1,5_6
106,AI,staghorn,-2.450947879,0,5_6
108,AI,staghorn,-2.626149571,0,5_6
110,AI,staghorn,-2.981198874,0,5_6
111,AI,staghorn,-0.740004856,0,5_6
112,AI,staghorn,-2.140255904,0,5_6
114,AI,staghorn,-2.007172369,0,5_6
115,AI,staghorn,-6.250424781,0,5_6
117,AI,staghorn,-3.508296719,0,5_6
119,AI,staghorn,-2.248592907,0,5_6
121,AI,staghorn,-4.974240412,0,5_6
123,AI,staghorn,-5.751909285,1,5_6
124,AI,staghorn,-4.059276141,0,5_6
127,AL,corymbose,-3.569858846,0,3_4
128,AL,corymbose,-1.939871607,0,3_4
129,AL,corymbose,-3.987748435,0,3_4
130,AL,corymbose,-3.271945354,0,3_4
131,AL,corymbose,-2.644704881,1,3_4
132,AL,corymbose,-5.433411238,0,3_4
133,AL,corymbose,-3.132439573,0,3_4
134,AL,corymbose,-3.770809321,0,3_4
135,AL,corymbose,-3.325042027,0,3_4
136,AL,corymbose,-2.934849107,0,3_4
137,AL,corymbose,-3.310750615,0,3_4
138,AL,corymbose,-4.310798847,0,3_4
139,AL,corymbose,-3.271870229,0,3_4
140,AL,corymbose,-2.312597305,0,3_4
141,AL,corymbose,-3.756124169,0,3_4
142,AL,corymbose,-3.332045561,0,3_4
143,AL,corymbose,-4.356642959,0,3_4
144,AL,corymbose,-3.258998453,0,3_4
