colony_id,spp_code,growth_form,log_area_cm2,mortality,year
236,AR,staghorn,-2.719636632,0,5_6
237,AR,staghorn,-2.444769854,0,5_6
238,AR,staghorn,-2.589094477,0,5_6
239,AR,staghorn,-2.588099102,0,5_6
241,AR,staghorn,-2.651264951,0,5_6
243,AR,staghorn,-2.296051223,1,5_6
244,AR,staghorn,-1.114838365,0,5_6
245,AR,staghorn,-4.032921216,1,5_6
246,AR,staghorn,-2.112891344,0,5_6
247,AR,staghorn,-1.231533942,0,5_6
248,AR,staghorn,-1.868292972,0,5_6
249,AR,staghorn,-1.939164159,0,5_6
250,AR,staghorn,-5.179800124,1,5_6
251,AR,staghorn,-0.168330809,1,5_6
252,AR,staghorn,-2.786055971,0,5_6
253,AR,staghorn,-1.24860935,0,5_6
254,AR,staghorn,-3.084705888,1,5_6
255,AR,staghorn,-1.874221014,0,5_6
256,AR,staghorn,-3.980658302,0,5_6
259,AR,staghorn,-2.233130947,0,5_6
260,AR,staghorn,-2.741755672,0,5_6
261,AR,staghorn,-0.208694255,0,5_6
262,AR,staghorn,-2.589916197,0,5_6
263,AR,staghorn,-3.303763673,0,5_6
264,AR,staghorn,-3.226171413,1,5_6
265,AR,staghorn,-3.927053321,0,5_6
266,AR,staghorn,-3.08107146,1,5_6
365,AR,staghorn,-0.916514257,0,5_6
267,AS,digitate,-3.645767988,0,3_4
268,AS,digitate,-4.937859835,0,3_4
269,AS,digitate,-4.097828786,0,3_4
270,AS,digitate,-3.646755857,1,3_4
271,AS,digitate,-3.374413274,0,3_4
272,AS,digitate,-5.973748903,0,3_4
273,AS,digitate,-3.038392058,1,3_4
274,AS,digitate,-3.250993116,0,3_4
275,AS,digitate,-3.517645016,0,3_4
276,AS,digitate,-6.070635411,1,3_4
277,AS,digitate,-3.012151609,0,3_4
278,AS,digitate,-2.856191641,0,3_4
280,AS,digitate,-3.156513806,0,3_4
281,AS,digitate,-3.956063805,0,3_4
282,AS,digitate,-4.551829617,0,3_4
283,AS,digitate,-5.446429427,0,3_4
284,AS,digitate,-3.369084585,0,3_4
285,AS,digitate,-4.432399742,0,3_4
286,AS,digitate,-3.844936379,0,3_4
287,AS,digitate,-6.045372943,0,3_4
288,AS,digitate,-3.967796913,0,3_4
289,AS,digitate,-4.462527907,0,3_4
290,AS,digitate,-2.593816603,0,3_4
291,AS,digitate,-3.053752984,0,3_4
292,AS,digitate,-4.51006906,0,3_4
293,AS,digitate,-3.594060862,0,3_4
294,AS,digitate,-4.403735377,0,3_4
295,AS,digitate,-3.072082471,0,3_4
267,AS,digitate,-4.066173261,0,4_5
268,AS,digitate,-4.666723016,0,4_5
269,AS,digitate,-4.176645612,0,4_5
271,AS,digitate,-3.632214545,0,4_5
272,AS,digitate,-5.43021269,0,4_5
274,AS,digitate,-3.87552726,0,4_5
275,AS,digitate,-3.046077107,0,4_5
277,AS,digitate,-3.076688264,0,4_5
278,AS,digitate,-2.620466194,0,4_5
280,AS,digitate,-3.331185502,0,4_5
281,AS,digitate,-4.092544153,0,4_5
282,AS,digitate,-4.421468388,0,4_5
283,AS,digitate,-4.720891532,0,4_5
284,AS,digitate,-3.360826924,0,4_5
285,AS,digitate,-4.129662691,0,4_5
286,AS,digitate,-3.481900692,0,4_5
287,AS,digitate,-7.283169435,0,4_5
288,AS,digitate,-4.037718183,0,4_5
289,AS,digitate,-4.291130825,0,4_5
290,AS,digitate,-2.658518265,0,4_5
291,AS,digitate,-2.988380392,0,4_5
292,AS,digitate,-4.164983876,0,4_5
293,AS,digitate,-3.373758878,0,4_5
294,AS,digitate,-3.888564864,0,4_5
297,AS,digitate,-3.131641717,0,4_5
267,AS,digitate,-5.178864581,1,5_6
268,AS,digitate,-4.387572166,1,5_6
269,AS,digitate,-4.124323205,0,5_6
271,AS,digitate,-3.615396829,0,5_6
272,AS,digitate,-5.817050012,1,5_6
274,AS,digitate,-3.972578294,1,5_6
275,AS,digitate,-2.96963484,1,5_6
277,AS,digitate,-2.931947513,0,5_6
278,AS,digitate,-2.62076041,0,5_6
280,AS,digitate,-3.488521836,0,5_6
281,AS,digitate,-3.897080699,0,5_6
282,AS,digitate,-4.43519432,0,5_6
283,AS,digitate,-4.122613918,0,5_6
284,AS,digitate,-3.482386036,1,5_6
285,AS,digitate,-4.087965822,0,5_6
286,AS,digitate,-3.296955418,0,5_6
288,AS,digitate,-4.511497408,0,5_6
289,AS,digitate,-4.661843498,0,5_6
290,AS,digitate,-2.530928711,0,5_6
291,AS,digitate,-3.872669892,0,5_6
292,AS,digitate,-4.318687791,1,5_6
293,AS,digitate,-3.153836831,0,5_6
294,AS,digitate,-3.96476409,0,5_6
297,AS,digitate,-3.380045158,0,5_6
298,GP,massive,-4.239591616,0,3_4
299,GP,massive,-4.711388383,0,3_4
300,GP,massive,-5.986264314,0,3_4
301,GP,massive,-4.870430244,0,3_4
302,GP,massive,-5.163476769,0,3_4
303,GP,massive,-6.157316312,1,3_4
304,GP,massive,-4.853504484,0,3_4
306,GP,massive,-5.257534507,0,3_4
307,GP,massive,-4.079824753,0,3_4
308,GP,massive,-5.236218546,0,3_4
309,GP,massive,-6.42010326,0,3_4
310,GP,massive,-4.840781584,0,3_4
311,GP,massive,-4.953514808,0,3_4
312,GP,massive,-4.973560508,0,3_4
313,GP,massive,-5.005830757,0,3_4
314,GP,massive,-3.67407145,0,3_4
315,GP,massive,-4.630745113,0,3_4
316,GP,massive,-4.927342032,0,3_4
318,GP,massive,-4.416099119,0,3_4
319,GP,massive,-5.197357288,0,3_4
321,GP,massive,-5.076338035,0,3_4
324,GP,massive,-5.377543867,0,3_4
325,GP,massive,-3.569311201,0,3_4
326,GP,massive,-4.31849168,0,3_4
327,GP,massive,-5.948439588,0,3_4
298,GP,massive,-4.293095943,0,4_5
299,GP,massive,-4.843070123,0,4_5
300,GP,massive,-5.676836919,0,4_5
301,GP,massive,-4.452328482,0,4_5
302,GP,massive,-5.181251174,0,4_5
304,GP,massive,-5.053768722,0,4_5
306,GP,massive,-5.027063013,0,4_5
307,GP,massive,-3.996348836,0,4_5
308,GP,massive,-5.112591203,0,4_5
309,GP,massive,-5.451518267,0,4_5
310,GP,massive,-4.547475162,0,4_5
311,GP,massive,-4.574113643,0,4_5
312,GP,massive,-5.033222323,0,4_5
313,GP,massive,-4.873405034,0,4_5
314,GP,massive,-3.851430025,0,4_5
315,GP,massive,-4.51932975,0,4_5
316,GP,massive,-4.575726851,0,4_5
318,GP,massive,-4.168495011,0,4_5
319,GP,massive,-5.163329801,0,4_5
321,GP,massive,-5.086740458,0,4_5
324,GP,massive,-5.443294001,0,4_5
325,GP,massive,-3.729664112,0,4_5
326,GP,massive,-3.999130931,0,4_5
327,GP,massive,-5.945362515,0,4_5
298,GP,massive,-5.082893134,0,5_6
299,GP,massive,-4.817082497,0,5_6
300,GP,massive,-6.456811915,0,5_6
301,GP,massive,-4.953113894,0,5_6
302,GP,massive,-4.897648095,0,5_6
304,GP,massive,-4.751195681,0,5_6
305,GP,massive,-4.270945626,0,5_6
306,GP,massive,-4.785098408,0,5_6
307,GP,massive,-4.106889879,0,5_6
308,GP,massive,-5.162450271,0,5_6
309,GP,massive,-5.993534044,0,5_6
311,GP,massive,-5.021017081,0,5_6
312,GP,massive,-5.072785894,0,5_6
313,GP,massive,-4.839424886,0,5_6
314,GP,massive,-3.832235182,0,5_6
315,GP,massive,-4.592063527,0,5_6
316,GP,massive,-4.608603777,1,5_6
318,GP,massive,-4.29662668,0,5_6
319,GP,massive,-5.314924971,0,5_6
321,GP,massive,-5.289800104,0,5_6
323,GP,massive,-6.664152824,1,5_6
325,GP,massive,-3.813250123,0,5_6
326,GP,massive,-4.271302329,0,5_6
327,GP,massive,-5.639911742,1,5_6
331,GR,massive,-5.61734336,0,3_4
332,GR,massive,-3.204405685,0,3_4
333,GR,massive,-5.596184393,0,3_4
334,GR,massive,-5.43318635,1,3_4
335,GR,massive,-2.979460805,0,3_4
336,GR,massive,-3.852371808,0,3_4
337,GR,massive,-3.62025223,0,3_4
338,GR,massive,-3.972333989,0,3_4
339,GR,massive,-3.972053819,0,3_4
340,GR,massive,-4.048417571,0,3_4
341,GR,massive,-3.079496389,0,3_4
342,GR,massive,-4.036901885,0,3_4
343,GR,massive,-4.002468257,0,3_4
344,GR,massive,-3.880780142,0,3_4
345,GR,massive,-3.946633421,0,3_4
346,GR,massive,-3.820763926,0,3_4
347,GR,massive,-3.796025598,0,3_4
349,GR,massive,-4.948842404,0,3_4
350,GR,massive,-2.625039313,0,3_4
351,GR,massive,-6.262721043,0,3_4
352,GR,massive,-3.729239495,0,3_4
353,GR,massive,-4.482298266,0,3_4
354,GR,massive,-4.667370125,0,3_4
355,GR,massive,-3.086422082,0,3_4
356,GR,massive,-4.769147418,0,3_4
357,GR,massive,-4.682598214,0,3_4
358,GR,massive,-2.419099236,0,3_4
359,GR,massive,-3.900945919,0,3_4
360,GR,massive,-3.717830307,0,3_4
331,GR,massive,-5.617496688,0,4_5
332,GR,massive,-3.109993923,0,4_5
333,GR,massive,-5.390258428,0,4_5
335,GR,massive,-2.733067101,0,4_5
336,GR,massive,-3.687417096,0,4_5
337,GR,massive,-3.552552578,0,4_5
338,GR,massive,-3.783227541,0,4_5
339,GR,massive,-4.618845231,0,4_5
340,GR,massive,-4.333505355,0,4_5
341,GR,massive,-3.394247056,0,4_5
342,GR,massive,-4.09512007,0,4_5
343,GR,massive,-3.915125066,0,4_5
344,GR,massive,-4.044727158,0,4_5
345,GR,massive,-4.066697603,0,4_5
346,GR,massive,-3.970585413,0,4_5
347,GR,massive,-3.922551541,0,4_5
349,GR,massive,-4.818211621,0,4_5
350,GR,massive,-3.641925786,0,4_5
351,GR,massive,-6.249720903,0,4_5
352,GR,massive,-3.662811046,0,4_5
353,GR,massive,-4.815293922,0,4_5
354,GR,massive,-4.184013264,0,4_5
355,GR,massive,-2.981920518,0,4_5
356,GR,massive,-4.886248925,0,4_5
357,GR,massive,-4.594214047,0,4_5
358,GR,massive,-2.246171739,0,4_5
359,GR,massive,-3.832509475,0,4_5
360,GR,massive,-4.141664108,0,4_5
361,GR,massive,-5.332596946,0,4_5
332,GR,massive,-3.115221981,0,5_6
333,GR,massive,-5.308524469,0,5_6
335,GR,massive,-3.277907006,0,5_6
337,GR,massive,-3.994661465,0,5_6
338,GR,massive,-3.652998815,0,5_6
339,GR,massive,-5.017889413,0,5_6
340,GR,massive,-3.998334429,0,5_6
341,GR,massive,-3.108180393,0,5_6
342,GR,massive,-4.002061663,0,5_6
343,GR,massive,-4.049166643,0,5_6
344,GR,massive,-4.153385617,0,5_6
345,GR,massive,-3.71127517,0,5_6
346,GR,massive,-4.139770004,0,5_6
347,GR,massive,-4.214354553,0,5_6
348,GR,massive,-4.855534241,0,5_6
349,GR,massive,-5.710627361,1,5_6
350,GR,massive,-3.700836712,0,5_6
351,GR,massive,-7.264765199,1,5_6
353,GR,massive,-4.635294945,1,5_6
354,GR,massive,-4.065630923,0,5_6
355,GR,massive,-2.990455759,0,5_6
356,GR,massive,-5.909467856,0,5_6
358,GR,massive,-2.14228468,0,5_6
359,GR,massive,-3.920693818,0,5_6
360,GR,massive,-4.290230694,0,5_6
361,GR,massive,-5.023477603,0,5_6
