colony_id,spp,species,year,area_cm2,surv
259,AR,Acropora robusta,2013,1070.992649,1
259,AR,Acropora robusta,2014,1413.065671,0
260,AR,Acropora robusta,2009,595.0002371,1
260,AR,Acropora robusta,2010,643.3707131,1
260,AR,Acropora robusta,2011,650.3862244,1
260,AR,Acropora robusta,2012,673.2919621,1
260,AR,Acropora robusta,2013,574.2492394,1
260,AR,Acropora robusta,2014,671.9543143,0
261,AR,Acropora robusta,2009,9452.908313,1
261,AR,Acropora robusta,2010,8704.323915,1
261,AR,Acropora robusta,2011,8146.008605,1
261,AR,Acropora robusta,2012,9006.348109,1
261,AR,Acropora robusta,2013,8524.429349,1
261,AR,Acropora robusta,2014,10214.24169,0
262,AR,Acropora robusta,2009,827.9810546,1
262,AR,Acropora robusta,2010,798.7721164,1
262,AR,Acropora robusta,2011,762.4732546,1
262,AR,Acropora robusta,2012,844.02163,1
262,AR,Acropora robusta,2013,547.1900858,1
262,AR,Acropora robusta,2014,570.7746726,0
263,AR,Acropora robusta,2009,322.1428498,1
263,AR,Acropora robusta,2010,608.1679589,1
263,AR,Acropora robusta,2011,373.0848561,1
263,AR,Acropora robusta,2012,207.392455,1
263,AR,Acropora robusta,2013,160.1318034,1
263,AR,Acropora robusta,2014,228.2962712,0
264,AR,Acropora robusta,2009,639.7037151,1
264,AR,Acropora robusta,2010,714.3599646,1
264,AR,Acropora robusta,2011,400.8759384,0
265,AR,Acropora robusta,2009,379.5884761,1
265,AR,Acropora robusta,2010,245.5292617,1
265,AR,Acropora robusta,2011,204.1302136,0
266,AR,Acropora robusta,2009,149.7939497,1
266,AR,Acropora robusta,2010,339.090256,1
266,AR,Acropora robusta,2011,461.9561641,0
267,AS,Acropora humilis,2009,261.7847178,1
267,AS,Acropora humilis,2010,174.0433734,1
267,AS,Acropora humilis,2011,51.90467374,0
268,AS,Acropora humilis,2009,72.34668385,1
268,AS,Acropora humilis,2010,94.77252682,1
268,AS,Acropora humilis,2011,126.1989141,0
269,AS,Acropora humilis,2009,166.66921,1
269,AS,Acropora humilis,2010,155.1631545,1
269,AS,Acropora humilis,2011,164.4786117,1
269,AS,Acropora humilis,2012,90.34508654,1
269,AS,Acropora humilis,2013,88.75907444,1
269,AS,Acropora humilis,2014,65.00283934,0
270,AS,Acropora humilis,2009,265.1406223,0
271,AS,Acropora humilis,2009,342.5933636,1
271,AS,Acropora humilis,2010,265.2483285,1
271,AS,Acropora humilis,2011,272.4644067,1
271,AS,Acropora humilis,2012,353.5995569,1
271,AS,Acropora humilis,2013,302.3143003,1
271,AS,Acropora humilis,2014,331.2120614,0
272,AS,Acropora humilis,2009,26.25364459,1
272,AS,Acropora humilis,2010,44.72128253,1
272,AS,Acropora humilis,2011,30.17173584,0
273,AS,Acropora humilis,2009,481.6958325,0
274,AS,Acropora humilis,2009,387.3643081,1
274,AS,Acropora humilis,2010,209.992331,1
274,AS,Acropora humilis,2011,192.6268094,0
275,AS,Acropora humilis,2009,296.7128049,1
275,AS,Acropora humilis,2010,477.7633996,1
275,AS,Acropora humilis,2011,517.1061075,0
276,AS,Acropora humilis,2009,23.15655408,0
277,AS,Acropora humilis,2009,495.0662983,1
277,AS,Acropora humilis,2010,462.3967472,1
277,AS,Acropora humilis,2011,536.9807869,1
277,AS,Acropora humilis,2012,471.4048641,1
277,AS,Acropora humilis,2013,444.4603598,1
277,AS,Acropora humilis,2014,437.426845,0
278,AS,Acropora humilis,2009,577.7671672,1
278,AS,Acropora humilis,2010,728.6136645,1
278,AS,Acropora humilis,2011,730.3666971,1
278,AS,Acropora humilis,2012,787.2670035,1
278,AS,Acropora humilis,2013,819.4155294,1
278,AS,Acropora humilis,2014,809.930396,0
279,AS,Acropora humilis,2009,270.0769261,0
280,AS,Acropora humilis,2009,426.686999,1
280,AS,Acropora humilis,2010,361.5262939,1
280,AS,Acropora humilis,2011,307.6584135,1
280,AS,Acropora humilis,2012,266.9638181,1
280,AS,Acropora humilis,2013,250.0073345,1
280,AS,Acropora humilis,2014,110.3274909,0
281,AS,Acropora humilis,2009,192.8930052,1
281,AS,Acropora humilis,2010,168.0248524,1
281,AS,Acropora humilis,2011,203.5680759,1
281,AS,Acropora humilis,2012,213.4522416,1
281,AS,Acropora humilis,2013,180.4947601,1
281,AS,Acropora humilis,2014,135.7172624,0
282,AS,Acropora humilis,2009,106.6323638,1
282,AS,Acropora humilis,2010,121.0832232,1
282,AS,Acropora humilis,2011,119.4618696,1
282,AS,Acropora humilis,2012,100.7759754,1
282,AS,Acropora humilis,2013,80.32680503,1
282,AS,Acropora humilis,2014,4.869594391,0
283,AS,Acropora humilis,2009,43.93783244,1
283,AS,Acropora humilis,2010,89.86320471,1
283,AS,Acropora humilis,2011,163.6282308,1
283,AS,Acropora humilis,2012,175.1891902,1
283,AS,Acropora humilis,2013,235.7514815,1
283,AS,Acropora humilis,2014,250.8812392,0
284,AS,Acropora humilis,2009,340.1846153,1
284,AS,Acropora humilis,2010,349.5971987,1
284,AS,Acropora humilis,2011,307.3402804,0
285,AS,Acropora humilis,2009,119.1322736,1
285,AS,Acropora humilis,2010,161.1572271,1
285,AS,Acropora humilis,2011,168.9603054,1
285,AS,Acropora humilis,2012,53.71103833,0
286,AS,Acropora humilis,2009,216.2013345,1
286,AS,Acropora humilis,2010,308.6492449,1
286,AS,Acropora humilis,2011,372.2094348,1
286,AS,Acropora humilis,2012,384.446994,1
286,AS,Acropora humilis,2013,417.9231223,1
286,AS,Acropora humilis,2014,296.3621949,0
287,AS,Acropora humilis,2009,23.99396505,1
287,AS,Acropora humilis,2010,7.559691176,0
288,AS,Acropora humilis,2009,189.1505087,1
288,AS,Acropora humilis,2010,177.7466593,1
288,AS,Acropora humilis,2011,111.2624722,1
288,AS,Acropora humilis,2012,102.91553,1
288,AS,Acropora humilis,2013,77.01392271,1
288,AS,Acropora humilis,2014,44.4676115,0
289,AS,Acropora humilis,2009,116.7354199,1
289,AS,Acropora humilis,2010,137.6589986,1
289,AS,Acropora humilis,2011,96.05995724,1
289,AS,Acropora humilis,2012,155.1571889,1
289,AS,Acropora humilis,2013,147.3830821,1
289,AS,Acropora humilis,2014,143.2394052,0
290,AS,Acropora humilis,2009,749.1625943,1
290,AS,Acropora humilis,2010,702.3371938,1
290,AS,Acropora humilis,2011,798.1455073,1
290,AS,Acropora humilis,2012,938.0721695,1
290,AS,Acropora humilis,2013,832.6607772,1
290,AS,Acropora humilis,2014,963.7504668,0
291,AS,Acropora humilis,2009,471.8148959,1
291,AS,Acropora humilis,2010,507.9563802,1
291,AS,Acropora humilis,2011,210.9164805,1
291,AS,Acropora humilis,2012,50.81295849,0
292,AS,Acropora humilis,2009,111.7950197,1
292,AS,Acropora humilis,2010,156.6220412,1
292,AS,Acropora humilis,2011,135.3123633,0
293,AS,Acropora humilis,2009,275.5194395,1
293,AS,Acropora humilis,2010,343.3420621,1
293,AS,Acropora humilis,2011,430.4911009,1
293,AS,Acropora humilis,2012,390.003778,0
294,AS,Acropora humilis,2009,122.9544293,1
294,AS,Acropora humilis,2010,206.2783187,1
294,AS,Acropora humilis,2011,192.8113297,1
294,AS,Acropora humilis,2012,202.4634061,1
294,AS,Acropora humilis,2013,166.796663,1
294,AS,Acropora humilis,2014,187.6877799,0
295,AS,Acropora humilis,2009,464.0821741,1
295,AS,Acropora humilis,2010,572.5079864,1
295,AS,Acropora humilis,2011,708.8862155,1
295,AS,Acropora humilis,2012,808.1335147,1
295,AS,Acropora humilis,2013,758.0789025,1
295,AS,Acropora humilis,2014,609.2845216,0
297,AS,Acropora humilis,2010,442.0247033,1
297,AS,Acropora humilis,2011,342.1881274,1
297,AS,Acropora humilis,2012,62.31069195,0
298,GP,Goniastrea pectinata,2009,144.6900645,1
298,GP,Goniastrea pectinata,2010,136.994312,1
