colony_id,spp,species,year,area_cm2,surv
350,GR,Goniastrea retiformis,2011,252.0656038,1
350,GR,Goniastrea retiformis,2012,314.6248957,1
350,GR,Goniastrea retiformis,2013,352.8170007,1
350,GR,Goniastrea retiformis,2014,344.6807563,0
351,GR,Goniastrea retiformis,2009,20.23977432,1
351,GR,Goniastrea retiformis,2010,18.61959402,1
351,GR,Goniastrea retiformis,2011,7.135229908,0
352,GR,Goniastrea retiformis,2009,239.9242896,1
352,GR,Goniastrea retiformis,2010,261.8055276,1
352,GR,Goniastrea retiformis,2011,292.0240579,1
352,GR,Goniastrea retiformis,2012,307.7819895,1
352,GR,Goniastrea retiformis,2013,312.7793299,1
352,GR,Goniastrea retiformis,2014,329.0868264,1
352,GR,Goniastrea retiformis,2015,193.2399349,NA
353,GR,Goniastrea retiformis,2009,113.7943906,1
353,GR,Goniastrea retiformis,2010,82.12475464,1
353,GR,Goniastrea retiformis,2011,98.29942124,0
354,GR,Goniastrea retiformis,2009,93.98494506,1
354,GR,Goniastrea retiformis,2010,156.1540011,1
354,GR,Goniastrea retiformis,2011,173.3508191,1
354,GR,Goniastrea retiformis,2012,191.2340125,1
354,GR,Goniastrea retiformis,2013,198.4365728,1
354,GR,Goniastrea retiformis,2014,227.4107758,0
355,GR,Goniastrea retiformis,2009,456.653583,1
355,GR,Goniastrea retiformis,2010,508.4009243,1
355,GR,Goniastrea retiformis,2011,504.1854645,1
355,GR,Goniastrea retiformis,2012,447.2430273,1
355,GR,Goniastrea retiformis,2013,461.4152522,1
355,GR,Goniastrea retiformis,2014,551.9956898,0
356,GR,Goniastrea retiformis,2009,85.77726685,1
356,GR,Goniastrea retiformis,2010,77.1287682,1
356,GR,Goniastrea retiformis,2011,20.43870232,1
356,GR,Goniastrea retiformis,2012,12.11533327,1
356,GR,Goniastrea retiformis,2013,8.923024049,1
356,GR,Goniastrea retiformis,2014,5.291481551,0
357,GR,Goniastrea retiformis,2009,93.84537049,1
357,GR,Goniastrea retiformis,2010,101.907392,0
