"","spp","samp","lam"
"71","Ain",7,1.25430913198389
"72","Ami",7,0.703445721957706
"73","Ana",7,0.718310914013738
"74","Aro",7,1.14797668684568
"75","Asp",7,1.19423059167749
"76","Gpe",7,1.12211664492798
"77","Gre",7,1.02795654725723
"78","Acy",8,1.45523164237941
"79","Adi",8,0.978950221516149
"80","Ahu",8,0.911297914654102
"81","Ahy",8,1.66564050438806
"82","Ain",8,1.22401292143964
"83","Ami",8,0.632215992657061
"84","Ana",8,0.756168686294149
"85","Aro",8,1.12102297809217
"86","Asp",8,1.14313519535392
"87","Gpe",8,0.950356829706627
"88","Gre",8,0.974149344912263
"89","Acy",9,1.4438170989717
"90","Adi",9,0.995781653950362
"91","Ahu",9,0.892749443201655
"92","Ahy",9,1.75314208085981
"93","Ain",9,1.27950646627592
"94","Ami",9,0.673933623704304
"95","Ana",9,0.808594677946797
"96","Aro",9,1.08371047719693
"97","Asp",9,1.3811712371034
"98","Gpe",9,0.932369412610773
"99","Gre",9,1.00858132489837
"100","Acy",10,1.43973524408124
"101","Adi",10,1.0648842156779
"102","Ahu",10,0.892807717782377
"103","Ahy",10,1.69085671984639
"104","Ain",10,1.32636407406846
"105","Ami",10,0.630687425488945
"106","Ana",10,0.756825733712185
"107","Aro",10,1.06736918027205
"108","Asp",10,1.20993129480987
"109","Gpe",10,0.941750095935563
"110","Gre",10,0.997033001788941
"111","Acy",11,1.46864091706439
"112","Adi",11,0.931057537483843
"113","Ahu",11,0.922435282645537
"114","Ahy",11,1.68301013212501
"115","Ain",11,1.3076726227424
"116","Ami",11,0.670861997619112
"117","Ana",11,0.719759855464046
"118","Aro",11,0.944165170748206
"119","Asp",11,1.16818694545543
"120","Gpe",11,1.12208134296023
"121","Gre",11,1.01941035823568
"122","Acy",12,1.31886857451448
"123","Adi",12,0.970198318977802
"124","Ahu",12,0.91076436258349
"125","Ahy",12,1.68030145443541
"126","Ain",12,1.41997007780972
"127","Ami",12,0.719986238115135
"128","Ana",12,0.758965875449387
"129","Aro",12,0.895065505055844
"130","Asp",12,1.21677368645431
"131","Gpe",12,0.94853611688111
"132","Gre",12,0.958192783825146
"133","Acy",13,1.39919120017475
"134","Adi",13,0.9137508965451
"135","Ahu",13,0.8901422620928
"136","Ahy",13,1.7741037277604
"137","Ain",13,1.35701917101101
"138","Ami",13,0.760114035933509
"139","Ana",13,0.732339126835074
"140","Aro",13,1.10813729868649
"141","Asp",13,1.21544651070846
"142","Gpe",13,1.11665124854644
"143","Gre",13,0.998767064756936
"144","Acy",14,1.40322219232805
"145","Adi",14,1.06408951742105
"146","Ahu",14,0.897903601396292
"147","Ahy",14,1.73397518192822
"148","Ain",14,1.38882494645097
"149","Ami",14,0.680103637966835
"150","Ana",14,0.70906018543732
"151","Aro",14,1.02011650056898
"152","Asp",14,1.32271376373656
"153","Gpe",14,0.941540835063926
"154","Gre",14,0.971055850245013
"155","Acy",15,1.44411719183205
"156","Adi",15,0.965169381549584
"157","Ahu",15,0.896922091072231
"158","Ahy",15,1.7546173694881
"159","Ain",15,1.29303033489064
"160","Ami",15,0.715594601999427
"161","Ana",15,0.738246723951785
"162","Aro",15,1.13890877537528
"163","Asp",15,1.27525788428948
"164","Gpe",15,0.956002214911049
"165","Gre",15,1.02267394126814
"166","Acy",16,1.486032826945
"167","Adi",16,0.972272446003714
"168","Ahu",16,0.890823587251832
"169","Ahy",16,1.77198092585442
"170","Ain",16,1.28549772540804
"171","Ami",16,0.694900775537137
"172","Ana",16,0.776331135301184
"173","Aro",16,1.05111054068085
"174","Asp",16,1.15255608308361
"175","Gpe",16,0.936056548956436
"176","Gre",16,1.00319754025424
"177","Acy",17,1.45455674466188
"178","Adi",17,0.98561183735233
"179","Ahu",17,0.89205417942146
"180","Ahy",17,1.73396221534457
"181","Ain",17,1.32752505788784
"182","Ami",17,0.651858177804353
"183","Ana",17,0.706081601688775
"184","Aro",17,1.06645661172197
"185","Asp",17,1.20759023249286
"186","Gpe",17,0.967648097215488
"187","Gre",17,1.0122108737784
"188","Acy",18,1.40365325983964
"189","Adi",18,0.960969671816888
"190","Ahu",18,0.888405357030234
"191","Ahy",18,1.79397477013429
"192","Ain",18,1.33957270914191
"193","Ami",18,0.63723597880209
"194","Ana",18,0.807405602793173
"195","Aro",18,1.11609250356557
"196","Asp",18,1.14196951825789
"197","Gpe",18,0.974045678614759
"198","Gre",18,1.03933842224748
"199","Acy",19,1.35729538840853
"200","Adi",19,0.90305001424005
"201","Ahu",19,0.893186743473195
"202","Ahy",19,1.83506911347217
"203","Ain",19,1.3160612182386
"204","Ami",19,0.620397595317351
"205","Ana",19,0.72206531675632
"206","Aro",19,1.12062735542345
"207","Asp",19,1.11500967083247
"208","Gpe",19,0.945859666062446
"209","Gre",19,1.03295661224343
"210","Acy",20,1.48441200124185
"211","Adi",20,0.933259072877143
"212","Ahu",20,0.894682184081047
"213","Ahy",20,1.67468848803902
"214","Ain",20,1.30013727600607
"215","Ami",20,0.637941036461553
"216","Ana",20,0.755613540362664
"217","Aro",20,1.01834786622404
"218","Asp",20,1.16838387882354
"219","Gpe",20,0.946785457248433
"220","Gre",20,0.971328548304558
"221","Acy",21,1.45758889505003
"222","Adi",21,0.955087048684022
"223","Ahu",21,0.879425907291915
"224","Ahy",21,1.76433153639365
"225","Ain",21,1.1958865680346
"226","Ami",21,0.744650469378766
"227","Ana",21,0.706762704915467
"228","Aro",21,1.06140069243435
"229","Asp",21,1.24611341170526
"230","Gpe",21,0.951915104604288
"231","Gre",21,1.01938534425186
"232","Acy",22,1.44589326136592
"233","Adi",22,0.935499504848282
"234","Ahu",22,0.89654638269979
"235","Ahy",22,1.6392756212428
"236","Ain",22,1.2281294062882
"237","Ami",22,0.659519196513574
"238","Ana",22,0.776617003936686
"239","Aro",22,1.04797527941995
"240","Asp",22,1.17800411344136
"241","Gpe",22,0.945980481464721
"242","Gre",22,1.07053383041667
"243","Acy",23,1.42684653620155
"244","Adi",23,1.02088330898262
"245","Ahu",23,0.893152749522324
"246","Ahy",23,1.72002366446554
"247","Ain",23,1.1871436565315
"248","Ami",23,0.700347801226367
"249","Ana",23,0.688998261423105
"250","Aro",23,1.11578467871775
"251","Asp",23,1.15218548579144
"252","Gpe",23,0.938741651147574
"253","Gre",23,1.02351976207719
"254","Acy",24,1.46670060725675
"255","Adi",24,0.913644318701281
"256","Ahu",24,0.891350072094872
"257","Ahy",24,1.76004301714981
"258","Ain",24,1.0786190578345
"259","Ami",24,0.674460400130138
"260","Ana",24,0.755545313674536
"261","Aro",24,1.04668174591943
"262","Asp",24,1.17968345968564
"263","Gpe",24,1.09484237109991
"264","Gre",24,1.01652684516799
"265","Acy",25,1.51532886927432
"266","Adi",25,1.04564392452725
"267","Ahu",25,0.886990945382625
